Report: Chartered Organizations Report
Council: Greater Colorado Council 061 
Organization Name: Centennial 02
Reporting period: Now
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..territoryname,councilname,subcouncilname,districtname,subdistrictname,unitname,unitid,genderaccepted,expirydtstr,specialinteresttypecode,specialinteresttype,communityorganization,communityorganizationtypecode,communityorganizationtype,tenure,address,citystate,zip,phone,qttyouth,qttadultvolunteers,communityorganizationtypeshort,ciscouncilpaid
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0113","316509","B","12/31/2026","0413","TRADITIONAL PROGRAM","St. Martin-in-the-Fields Episcopal Church","024","Episcopal Churches","466","19491 E Smoky Hill Rd","Centennial, CO","80015-3126","001-(303)-680-6376","53","45","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0113","358544","G","12/31/2026","0413","TRADITIONAL PROGRAM","St. Martin-in-the-Fields Episcopal Church","024","Episcopal Churches","94","19491 E Smoky Hill Rd","Centennial, CO","80015-3126","001-(303)-680-6376","26","42","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0127","376369","B","11/30/2026","0413","TRADITIONAL PROGRAM","NexGen Resources","191","Utilities, Distributing Industries","24","5290 Dtc Pkwy","Greenwood Village, CO","80111-2765","001-(303)-923-2484","24","17","BUS","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0317","21639","B","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","368","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","29","18","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0494","220907","B","12/31/2026","0413","TRADITIONAL PROGRAM","Lord of The Hills Lutheran  Church","008","Lutheran Churches","363","21755 E Smoky Hill Rd","Aurora, CO","80015-6752","(303)-617-9884","35","26","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Pack 0345","182288","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","744","258 Hampshire Ln","Castle Pines, CO","80108-4032","","14","5","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Pack 0351","318598","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends & Family of Pack 351","070","Groups of Citizens","577","6154 S Newark Way","Englewood, CO","80111-5850","(303)-601-3561","21","7","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Post 0025","366351","","12/31/2026","0800","GENERAL LAW ENFORCEMENT","Arapahoe County Sheriffs Department","103","Law Enforcement Agencies","67","13101 Broncos Pkwy","Centennial, CO","80112-4558","(720)-874-3898","12","4","GOV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Troop 0345","264941","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","663","258 Hampshire Ln","Castle Pines, CO","80108-4032","","46","19","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Troop 0373","92370","B","12/31/2026","0413","TRADITIONAL PROGRAM","Homestead in the Willow HOA","073","Homeowners' Associations","566","5896 E Geddes Ave","Centennial, CO","80112-1552","(303)-793-0230","22","22","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0257","313545","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends & Family of Pack 257","070","Groups of Citizens","684","8648 E Easter Pl","Centennial, CO","80112-1856","(720)-315-2289","34","7","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0268","227028","F","12/31/2026","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","442","258 Hampshire Ln","Castle Pines, CO","80108-4032","","17","9","CIV","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0467","275689","F","12/31/2026","0413","TRADITIONAL PROGRAM","Optimist Club of Monaco South","102","Clubs, Organizations, Fraternal Grp., Unclassified","56","7675 S Grape Way","Centennial, CO","80122-3861","(303)-521-5120","14","9","FRAT","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0770","260060","B","12/31/2026","0413","TRADITIONAL PROGRAM","St Thomas More Catholic Church","039","Roman Catholic Church and Affiliates","368","8035 S Quebec St","Englewood, CO","80112-3118","(303)-771-0431","40","12","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Troop 0634","376402","B","11/30/2026","","","Greater Colorado Council","","BSA Council","24","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","13","14","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Troop 0770","64224","B","12/31/2026","0413","TRADITIONAL PROGRAM","St Thomas More Center","039","Roman Catholic Church and Affiliates","414","8035 S Quebec St","Centennial, CO","80112-3118","(303)-770-1155","19","17","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Troop 3191","378070","G","06/30/2026","0431","3by3","Colorado Skies Academy","133","Public Schools","12","13025 Wings Way","Englewood, CO","80112-4535","001-(205)-765-5004","3","4","SCHL","No"
