Scout,Tenderfoot,SecondClass,FirstClass,Star,Life,Eagle,Palms,MeritBadge,Date,YTD,Male_Youth,Female_Youth,Youth,Unit,LDS,Gender,Sub-District
,4,6,1,3,3,1,0,72,2017,18,25,,25,Troop 0719-BT,,,4
,1,0,1,2,1,1,0,48,2017,6,35,,35,Troop 0732-BT,,,3
,1,0,2,0,3,0,0,11,2017,6,18,,18,Troop 0733-BT,,,5
,0,1,1,0,0,1,0,13,2017,3,27,,27,Troop 0739-BT,,,4
,5,1,4,0,0,2,0,4,2017,12,38,,38,Troop 0740-BT,,,5
,0,0,0,0,0,0,0,0,2017,0,47,,47,Troop 0743-BT,,,5
,0,2,2,3,3,0,0,41,2017,10,44,,44,Troop 0746-BT,,,5
,4,3,4,6,3,0,0,114,2017,20,39,,39,Troop 0763-BT,,,5
,9,8,5,1,0,0,0,74,2017,23,13,,13,Troop 0773-BT,,,4
,1,0,0,0,0,1,0,2,2017,2,43,,43,Troop 0793-BT,,,5
,4,1,1,1,3,2,0,36,2017,12,20,,20,Troop 0839-BT,,,1
,0,0,0,0,0,0,0,0,2017,0,17,,17,Troop 0923-BT,,,3
,0,0,0,0,0,0,0,0,2017,0,54,,54,Troop 1532-BT,,,1
1,3,2,2,0,3,0,0,151,2018,11,48,,48,Troop 0003-BT,,,2
0,0,0,0,0,0,0,0,0,2018,0,16,,16,Troop 0006-BT,,,3
0,1,3,3,1,3,6,0,111,2018,17,51,,51,Troop 0012-BT,,,1
1,0,0,0,1,0,0,0,21,2018,2,16,,16,Troop 0030-BT,,,2
13,0,1,0,3,4,5,0,101,2018,26,74,,74,Troop 0113-BT,,,1
4,4,1,0,2,2,3,0,59,2018,16,20,,20,Troop 0120-BT,,,2
9,7,5,10,9,7,3,0,114,2018,50,64,,64,Troop 0127-BT,,,2
0,3,3,2,0,2,0,0,41,2018,10,29,,29,Troop 0142-BT,,,4
0,1,0,0,0,1,0,0,18,2018,2,17,,17,Troop 0145-BT,,,4
0,0,1,0,2,1,0,0,8,2018,4,9,,9,Troop 0148-BT,,,4
4,0,1,2,2,0,2,0,55,2018,11,33,,33,Troop 0171-BT,,,1
0,0,0,0,0,0,0,0,0,2018,0,10,,10,Troop 0248-BT,,,3
0,0,0,0,0,2,0,0,15,2018,2,9,,9,Troop 0267-BT,,,1
1,1,1,2,2,2,0,0,95,2018,9,21,,21,Troop 0308-BT,,,1
12,0,4,5,6,2,3,3,124,2018,32,40,,40,Troop 0317-BT,,,1
3,3,1,1,0,2,3,0,51,2018,13,17,,17,Troop 0375-BT,,,2
2,0,0,0,0,0,0,0,0,2018,2,16,,16,Troop 0392-BT,,,3
4,0,0,0,1,1,0,0,9,2018,6,7,,7,Troop 0439-BT,,,2
12,10,4,1,2,2,0,0,114,2018,31,36,,36,Troop 0494-BT,,,2
0,3,0,0,0,1,1,2,36,2018,5,16,,16,Troop 0630-BT,,,1
0,1,0,2,2,2,1,0,32,2018,8,12,,12,Troop 0641-BT,,,1
0,0,1,1,3,3,1,0,48,2018,9,25,,25,Troop 0644-BT,,,1
1,1,2,1,1,1,1,0,72,2018,8,14,,14,Troop 0707-BT,,,2
1,2,2,1,1,0,2,1,22,2018,9,17,,17,Troop 0710-BT,,,3
2,2,0,1,1,1,0,0,27,2018,7,22,,22,Troop 0715-BT,,,4
3,0,0,0,0,0,0,0,0,2018,3,33,,33,Troop 0716-BT,,,3
0,0,0,0,1,0,0,0,5,2018,1,40,,40,Troop 0718-BT,,,5
0,1,0,1,0,2,0,0,42,2018,4,29,,29,Troop 0719-BT,,,4
1,1,0,2,2,2,3,3,83,2018,11,41,,41,Troop 0732-BT,,,3
3,3,1,0,5,3,3,0,46,2018,18,31,,31,Troop 0733-BT,,,5
0,1,0,1,2,0,4,0,15,2018,8,21,,21,Troop 0739-BT,,,4
0,0,0,0,0,1,2,0,7,2018,3,35,,35,Troop 0740-BT,,,5
2,4,2,0,0,2,1,0,48,2018,11,33,,33,Troop 0743-BT,,,5
4,4,5,4,6,5,2,3,130,2018,30,47,,47,Troop 0746-BT,,,5
0,0,0,0,0,0,0,0,0,2018,0,24,,24,Troop 0757-BT,,,5
0,0,0,2,2,0,0,1,48,2018,4,41,,41,Troop 0763-BT,,,5
1,0,0,4,8,6,1,0,357,2018,20,12,,12,Troop 0773-BT,,,4
4,1,1,1,1,1,0,0,45,2018,9,50,,50,Troop 0793-BT,,,5
2,1,1,1,1,1,3,0,54,2018,10,14,,14,Troop 0839-BT,,,1
0,0,0,0,0,0,0,0,0,2018,0,15,,15,Troop 0923-BT,,,3
0,0,0,0,0,0,0,0,0,2018,0,64,,64,Troop 1532-BT,,,1
2,3,1,4,1,4,7,0,113,2019,22,41,0,41,Troop 0012-BT,N,B,1
15,9,6,4,3,3,3,0,229,2019,43,85,0,85,Troop 0113-BT,N,B,1
11,6,2,1,0,0,0,0,24,2019,20,0,11,11,Troop 0113-GT,N,G,1
20,17,14,10,10,6,7,0,207,2019,84,75,0,75,Troop 0127-BT,N,B,1
1,2,0,1,1,1,1,0,36,2019,7,34,0,34,Troop 0171-BT,N,B,1
0,0,0,1,0,0,3,0,5,2019,4,5,0,5,Troop 0267-BT,N,B,1
2,7,4,1,1,2,3,1,88,2019,20,30,0,30,Troop 0308-BT,N,B,1
7,4,3,1,0,0,0,0,42,2019,15,0,7,7,Troop 0308-GT,N,G,1
6,9,2,0,1,3,4,3,90,2019,25,36,0,36,Troop 0317-BT,N,B,1
6,6,5,2,1,0,1,0,68,2019,21,17,0,17,Troop 0630-BT,N,B,1
12,6,5,4,0,0,0,0,69,2019,27,0,12,12,Troop 0630-GT,N,G,1
1,0,0,0,1,2,2,0,11,2019,6,8,0,8,Troop 0641-BT,N,B,1
0,0,0,0,1,2,2,0,38,2019,5,17,0,17,Troop 0644-BT,N,B,1
2,3,2,1,2,1,2,0,34,2019,13,13,0,13,Troop 0839-BT,N,B,1
10,3,0,0,0,0,0,0,17,2019,13,55,0,55,Troop 1532-BT,N,B,1
3,0,1,3,3,0,1,0,46,2019,11,21,0,21,Troop 0003-BT,N,B,2
2,7,2,1,0,0,0,0,21,2019,12,14,0,14,Troop 0030-BT,N,B,2
1,1,2,0,0,0,3,0,29,2019,7,19,0,19,Troop 0120-BT,N,B,2
0,1,2,0,1,0,2,0,37,2019,6,15,0,15,Troop 0375-BT,N,B,2
0,2,0,1,0,0,0,0,14,2019,3,7,0,7,Troop 0439-BT,Y,B,2
4,6,5,4,2,4,1,0,126,2019,26,27,0,27,Troop 0494-BT,N,B,2
16,9,4,2,2,1,3,0,85,2019,37,32,0,32,Troop 0707-BT,N,B,2
0,0,0,0,0,1,0,0,5,2019,1,16,0,16,Troop 0006-BT,Y,B,3
0,0,0,0,0,0,0,0,0,2019,0,10,0,10,Troop 0248-BT,Y,B,3
0,0,0,0,0,0,0,0,0,2019,0,16,0,16,Troop 0392-BT,Y,B,3
0,0,0,0,1,1,1,0,8,2019,3,17,0,17,Troop 0710-BT,Y,B,3
0,2,0,0,0,2,0,0,6,2019,4,33,0,33,Troop 0716-BT,Y,B,3
0,2,1,1,2,4,3,0,131,2019,13,39,0,39,Troop 0732-BT,Y,B,3
0,0,0,0,0,0,0,0,0,2019,0,15,0,15,Troop 0923-BT,Y,B,3
2,2,4,4,4,3,1,0,107,2019,20,29,0,29,Troop 0142-BT,Y,B,4
0,0,0,0,0,0,0,0,12,2019,0,17,0,17,Troop 0145-BT,Y,B,4
0,0,0,0,0,0,1,0,1,2019,1,9,0,9,Troop 0148-BT,Y,B,4
0,0,0,0,0,0,2,6,19,2019,2,22,0,22,Troop 0715-BT,Y,B,4
0,0,0,1,1,4,2,2,41,2019,8,29,0,29,Troop 0719-BT,Y,B,4
0,0,0,0,0,0,1,0,1,2019,1,21,0,21,Troop 0739-BT,Y,B,4
1,2,0,0,0,3,8,9,90,2019,14,12,0,12,Troop 0773-BT,Y,B,4
0,0,0,0,0,0,1,0,0,2019,1,40,0,40,Troop 0718-BT,Y,B,5
0,0,1,1,0,0,3,0,18,2019,5,33,0,33,Troop 0733-BT,Y,B,5
0,0,0,0,0,0,0,0,0,2019,0,35,0,35,Troop 0740-BT,Y,B,5
0,0,1,2,0,0,0,0,34,2019,3,32,0,32,Troop 0743-BT,Y,B,5
