lion,tiger,bobcat,wolf,bear,webelos,aol,Date,YTD,Male Youth,Female Youth,Youth,Unit,LDS,Gender,Sub-District
,1,6,7,0,5,0,2015,19,36,,36,Pack 0646-FP,,,1
,5,1,0,9,4,3,2016,22,26,,26,Pack 0646-FP,,,1
,0,4,0,0,0,3,2017,7,30,,30,Pack 0646-FP,,,1
6,3,13,5,3,0,9,2018,39,33,,33,Pack 0646-FP,,,1
2,5,4,4,5,6,0,2019,26,29,4,33,Pack 0646-FP,N,FP,1
0,0,0,0,0,0,0,2020,0,18,1,19,Pack 0646-FP,N,FP,
0,4,2,2,3,2,5,2020,18,22,0,22,Pack 0674-BP,N,BP,
0,0,0,0,0,1,0,2021,1,14,0,14,Pack 0674-BP,N,BP,
0,0,0,0,0,0,0,2018,0,25,,25,Pack 0681-BP,,,
0,0,0,0,0,0,0,2019,0,24,1,25,Pack 0681-BP,N,BP,2
,0,0,0,0,0,0,2015,0,21,,21,Pack 0710-BP,,,3
,0,0,0,0,0,0,2016,0,15,,15,Pack 0710-BP,,,3
,0,3,2,0,3,3,2017,11,14,,14,Pack 0710-BP,,,3
0,0,0,2,2,1,1,2018,6,9,,9,Pack 0710-BP,,,3
0,0,0,0,0,4,1,2019,5,8,0,8,Pack 0710-BP,Y,BP,3
,0,2,3,5,2,0,2015,12,23,,23,Pack 0715-BP,,,4
,0,2,3,3,6,5,2016,19,19,,19,Pack 0715-BP,,,4
,0,1,1,2,1,1,2017,6,9,,9,Pack 0715-BP,,,4
0,0,0,1,1,1,1,2018,4,9,,9,Pack 0715-BP,,,4
0,0,0,0,0,1,1,2019,2,9,0,9,Pack 0715-BP,Y,BP,4
,0,5,6,1,3,3,2015,18,17,,17,Pack 0716-BP,,,3
,0,1,2,1,0,0,2016,4,18,,18,Pack 0716-BP,,,3
,0,3,6,3,2,1,2017,15,23,,23,Pack 0716-BP,,,3
0,0,0,1,1,1,1,2018,4,17,,17,Pack 0716-BP,,,3
0,0,0,0,4,2,1,2019,7,17,0,17,Pack 0716-BP,Y,BP,3
0,0,0,0,0,0,0,2020,0,5,0,5,Pack 0717-FP,N,FP,
,0,2,2,0,2,2,2015,8,14,,14,Pack 0718-BP,,,5
